,name,external_id,external_id_source,lat,lng,address,minimum_age,url
282,Himmel Park,662019917185253,facebook_places,32.233378261638,-110.93500936522,0.1mi · 1000 N Tucson Blvd,,https://www.instagram.com/explore/locations/662019917185253
283,Flagstaff AZ,242741935833403,facebook_places,32.207243582264,-110.87889206606,"3.9mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/242741935833403
284,McKale Center,110559615639918,facebook_places,32.2303,-110.946,0.6mi,,https://www.instagram.com/explore/locations/110559615639918
285,Katchner Caverns,835235596580456,facebook_places,32.235839,-110.935019,"0.2mi · Tucson, AZ",,https://www.instagram.com/explore/locations/835235596580456
286,McKale Arena - University of Arizona,112300772174242,facebook_places,32.230355,-110.945993,"0.6mi · Tucson, AZ",,https://www.instagram.com/explore/locations/112300772174242
287,University of Arizona Football Stadium,164084607501390,facebook_places,32.228836864268,-110.94857933589,0.7mi,,https://www.instagram.com/explore/locations/164084607501390
288,Arizona Stadium,126248674085418,facebook_places,32.2288391,-110.948844,0.8mi · 540 N Vine Ave,,https://www.instagram.com/explore/locations/126248674085418
289,Second Street Children's School/WB Collins Early Learning Project,192058334191626,facebook_places,,,,,https://www.instagram.com/explore/locations/192058334191626
290,Mt Wrightson,2246516348963344,facebook_places,32.236357829101,-110.93184083542,"0.4mi · top of madera canyon, Tucson, Arizona",,https://www.instagram.com/explore/locations/2246516348963344
291,University of Arizona,142502572455180,facebook_places,32.232260909848,-110.94914674759,0.7mi · Cherry Avenue and University,,https://www.instagram.com/explore/locations/142502572455180
292,University Of Arizona Tailgate,216209918439874,facebook_places,32.231772946503,-110.94584597522,0.5mi · The University of Arizona,,https://www.instagram.com/explore/locations/216209918439874
293,The University of Arizona,6096033309,facebook_places,32.22177,-110.96977,"2.1mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/6096033309
294,University of Arizona Wild Cats,119265648178923,facebook_places,32.23158345,-110.94468515,0.5mi,,https://www.instagram.com/explore/locations/119265648178923
295,University of Arizona,126061294395798,facebook_places,32.23571,-110.94152,"0.3mi · 2030 E Speedway Blvd, Tucson, AZ",,https://www.instagram.com/explore/locations/126061294395798
296,Wilderness of Rocks Trail,226113500876419,facebook_places,32.443486,-110.786735,16.9mi · Mount Lemmon,,https://www.instagram.com/explore/locations/226113500876419
297,University of Arizona Football Stadium,174168202663795,facebook_places,32.228836864268,-110.94857933589,"0.7mi · 1 N National Champion Dr Tucson, AZ 85721, Tucson, AZ",,https://www.instagram.com/explore/locations/174168202663795
298,UofA stadium,135546486552086,facebook_places,32.228717428477,-110.94842547052,0.7mi,,https://www.instagram.com/explore/locations/135546486552086
299,University Of Arizona Mary Roby Gymnastics Center Home Of The Gymcats,221693067886398,facebook_places,32.2305064,-110.9450837,0.5mi,,https://www.instagram.com/explore/locations/221693067886398
300,Peter Howell,1672904439609968,facebook_places,32.228886225817,-110.90533788198,"0.3mi · Peter Howell, Tucson",,https://www.instagram.com/explore/locations/1672904439609968
301,"Midtown, Tucson, Arizona",209965829136249,facebook_places,32.2433735,-110.9010075,0.7mi,,https://www.instagram.com/explore/locations/209965829136249
